År;Läkemedel;Region;Kön;Ålder;Antal patienter;Patienter/1000 invånare;Antal expedieringar;Expedieringar/1000 invånare;Befolkning
2020;C02AC02 Guanfacin;Kalmar län;Kvinnor;0­19;23;0,88;168;6,45;26038
2020;C02AC02 Guanfacin;Kalmar län;Båda könen;0­19;113;2,10;708;13,14;53891
2020;C02AC02 Guanfacin;Gotlands län;Män;0­19;55;8,58;274;42,75;6410
2020;C02AC02 Guanfacin;Gotlands län;Kvinnor;0­19;33;5,57;125;21,09;5928
2020;C02AC02 Guanfacin;Gotlands län;Båda könen;0­19;88;7,13;399;32,34;12338
2020;C02AC02 Guanfacin;Blekinge län;Män;0­19;154;8,24;812;43,43;18696
2020;C02AC02 Guanfacin;Blekinge län;Kvinnor;0­19;62;3,57;329;18,95;17361
2020;C02AC02 Guanfacin;Blekinge län;Båda könen;0­19;216;5,99;1141;31,64;36057
2020;C02AC02 Guanfacin;Skåne län;Män;0­19;603;3,58;3407;20,23;168420
2020;C02AC02 Guanfacin;Skåne län;Kvinnor;0­19;229;1,45;1139;7,19;158409
2020;C02AC02 Guanfacin;Skåne län;Båda könen;0­19;832;2,55;4546;13,91;326829
2020;C02AC02 Guanfacin;Hallands län;Män;0­19;473;11,42;2701;65,19;41430
2020;C02AC02 Guanfacin;Hallands län;Kvinnor;0­19;188;4,87;913;23,67;38577
2020;C02AC02 Guanfacin;Hallands län;Båda könen;0­19;661;8,26;3614;45,17;80007
2020;C02AC02 Guanfacin;Västra Götalands län;Män;0­19;970;4,72;6303;30,66;205580
2020;C02AC02 Guanfacin;Västra Götalands län;Kvinnor;0­19;383;1,99;2304;11,96;192643
2020;C02AC02 Guanfacin;Västra Götalands län;Båda könen;0­19;1353;3,40;8607;21,61;398223
2020;C02AC02 Guanfacin;Värmlands län;Män;0­19;92;2,92;526;16,67;31558
2020;C02AC02 Guanfacin;Värmlands län;Kvinnor;0­19;30;1,02;182;6,19;29413
2020;C02AC02 Guanfacin;Värmlands län;Båda könen;0­19;122;2,00;708;11,61;60971
2020;C02AC02 Guanfacin;Örebro län;Män;0­19;144;3,96;962;26,42;36406
2020;C02AC02 Guanfacin;Örebro län;Kvinnor;0­19;57;1,66;352;10,24;34377
2020;C02AC02 Guanfacin;Örebro län;Båda könen;0­19;201;2,84;1314;18,56;70783
2020;C02AC02 Guanfacin;Västmanlands län;Män;0­19;164;4,95;974;29,41;33117
2020;C02AC02 Guanfacin;Västmanlands län;Kvinnor;0­19;61;1,97;313;10,13;30907
2020;C02AC02 Guanfacin;Västmanlands län;Båda könen;0­19;225;3,51;1287;20,10;64024
2020;C02AC02 Guanfacin;Dalarnas län;Män;0­19;134;4,03;781;23,49;33247
2020;C02AC02 Guanfacin;Dalarnas län;Kvinnor;0­19;62;1,97;277;8,81;31457
2020;C02AC02 Guanfacin;Dalarnas län;Båda könen;0­19;196;3,03;1058;16,35;64704
2020;C02AC02 Guanfacin;Gävleborgs län;Män;0­19;183;5,56;1307;39,69;32929
2020;C02AC02 Guanfacin;Gävleborgs län;Kvinnor;0­19;53;1,71;401;12,96;30951
2020;C02AC02 Guanfacin;Gävleborgs län;Båda könen;0­19;236;3,69;1708;26,74;63880
2020;C02AC02 Guanfacin;Västernorrlands län;Män;0­19;74;2,63;471;16,74;28134
2020;C02AC02 Guanfacin;Västernorrlands län;Kvinnor;0­19;33;1,24;192;7,22;26575
2020;C02AC02 Guanfacin;Västernorrlands län;Båda könen;0­19;107;1,96;663;12,12;54709
2020;C02AC02 Guanfacin;Jämtlands län;Män;0­19;103;6,85;538;35,80;15026
2020;C02AC02 Guanfacin;Jämtlands län;Kvinnor;0­19;48;3,40;249;17,65;14105
2020;C02AC02 Guanfacin;Jämtlands län;Båda könen;0­19;151;5,18;787;27,02;29131
2020;C02AC02 Guanfacin;Västerbottens län;Män;0­19;126;4,05;781;25,09;31128
2020;C02AC02 Guanfacin;Västerbottens län;Kvinnor;0­19;58;1,98;325;11,11;29251
2020;C02AC02 Guanfacin;Västerbottens län;Båda könen;0­19;184;3,05;1106;18,32;60379
2020;C02AC02 Guanfacin;Norrbottens län;Män;0­19;179;6,65;1185;44,04;26910
2020;C02AC02 Guanfacin;Norrbottens län;Kvinnor;0­19;88;3,51;425;16,96;25057
2020;C02AC02 Guanfacin;Norrbottens län;Båda könen;0­19;267;5,14;1610;30,98;51967
2020;N06BA02 Dexamfetamin;Riket;Män;0­19;870;0,70;2353;1,90;1239976
2020;N06BA02 Dexamfetamin;Riket;Kvinnor;0­19;488;0,42;1242;1,07;1163754
2020;N06BA02 Dexamfetamin;Riket;Båda könen;0­19;1358;0,56;3595;1,50;2403730
2020;N06BA02 Dexamfetamin;Stockholms län;Män;0­19;324;1,10;786;2,67;294245
2020;N06BA02 Dexamfetamin;Stockholms län;Kvinnor;0­19;201;0,73;482;1,74;276981
2020;N06BA02 Dexamfetamin;Stockholms län;Båda könen;0­19;525;0,92;1268;2,22;571226
2020;N06BA02 Dexamfetamin;Uppsala län;Män;0­19;65;1,41;143;3,09;46208
2020;N06BA02 Dexamfetamin;Uppsala län;Kvinnor;0­19;29;0,67;65;1,50;43455
2020;N06BA02 Dexamfetamin;Uppsala län;Båda könen;0­19;94;1,05;208;2,32;89663
2020;N06BA02 Dexamfetamin;Södermanlands län;Män;0­19;39;1,05;126;3,39;37122
2020;N06BA02 Dexamfetamin;Södermanlands län;Kvinnor;0­19;15;0,43;51;1,47;34621
2020;N06BA02 Dexamfetamin;Södermanlands län;Båda könen;0­19;54;0,75;177;2,47;71743
2020;N06BA02 Dexamfetamin;Östergötlands län;Män;0­19;16;0,29;41;0,74;55312
2020;N06BA02 Dexamfetamin;Östergötlands län;Kvinnor;0­19;7;0,14;13;0,25;51806
2020;N06BA02 Dexamfetamin;Östergötlands län;Båda könen;0­19;23;0,21;54;0,50;107118
2020;N06BA02 Dexamfetamin;Jönköpings län;Män;0­19;9;0,20;43;0,95;45205
2020;N06BA02 Dexamfetamin;Jönköpings län;Kvinnor;0­19;2;0,05;15;0,35;42581
2020;N06BA02 Dexamfetamin;Jönköpings län;Båda könen;0­19;11;0,13;58;0,66;87786
2020;N06BA02 Dexamfetamin;Kronobergs län;Män;0­19;12;0,48;66;2,64;25040
2020;N06BA02 Dexamfetamin;Kronobergs län;Kvinnor;0­19;5;0,21;29;1,25;23261
2020;N06BA02 Dexamfetamin;Kronobergs län;Båda könen;0­19;17;0,35;95;1,97;48301
2020;N06BA02 Dexamfetamin;Kalmar län;Män;0­19;6;0,22;13;0,47;27853
2020;N06BA02 Dexamfetamin;Kalmar län;Kvinnor;0­19;5;0,19;9;0,35;26038
2020;N06BA02 Dexamfetamin;Kalmar län;Båda könen;0­19;11;0,20;22;0,41;53891
2020;N06BA02 Dexamfetamin;Gotlands län;Män;0­19;1;0,16;15;2,34;6410
2020;N06BA02 Dexamfetamin;Gotlands län;Kvinnor;0­19;1;0,17;2;0,34;5928
2020;N06BA02 Dexamfetamin;Gotlands län;Båda könen;0­19;2;0,16;17;1,38;12338
2020;N06BA02 Dexamfetamin;Blekinge län;Män;0­19;30;1,60;88;4,71;18696
2020;N06BA02 Dexamfetamin;Blekinge län;Kvinnor;0­19;12;0,69;25;1,44;17361
2020;N06BA02 Dexamfetamin;Blekinge län;Båda könen;0­19;42;1,16;113;3,13;36057
2020;N06BA02 Dexamfetamin;Skåne län;Män;0­19;57;0,34;159;0,94;168420
2020;N06BA02 Dexamfetamin;Skåne län;Kvinnor;0­19;32;0,20;94;0,59;158409
2020;N06BA02 Dexamfetamin;Skåne län;Båda könen;0­19;89;0,27;253;0,77;326829
2020;N06BA02 Dexamfetamin;Hallands län;Män;0­19;44;1,06;164;3,96;41430
2020;N06BA02 Dexamfetamin;Hallands län;Kvinnor;0­19;30;0,78;94;2,44;38577
2020;N06BA02 Dexamfetamin;Hallands län;Båda könen;0­19;74;0,92;258;3,22;80007
2020;N06BA02 Dexamfetamin;Västra Götalands län;Män;0­19;85;0,41;204;0,99;205580
2020;N06BA02 Dexamfetamin;Västra Götalands län;Kvinnor;0­19;48;0,25;102;0,53;192643
2020;N06BA02 Dexamfetamin;Västra Götalands län;Båda könen;0­19;133;0,33;306;0,77;398223
2020;N06BA02 Dexamfetamin;Värmlands län;Män;0­19;16;0,51;38;1,20;31558
2020;N06BA02 Dexamfetamin;Värmlands län;Kvinnor;0­19;9;0,31;14;0,48;29413
2020;N06BA02 Dexamfetamin;Värmlands län;Båda könen;0­19;25;0,41;52;0,85;60971
2020;N06BA02 Dexamfetamin;Örebro län;Män;0­19;25;0,69;60;1,65;36406
2020;N06BA02 Dexamfetamin;Örebro län;Kvinnor;0­19;10;0,29;39;1,13;34377
2020;N06BA02 Dexamfetamin;Örebro län;Båda könen;0­19;35;0,49;99;1,40;70783
2020;N06BA02 Dexamfetamin;Västmanlands län;Män;0­19;18;0,54;44;1,33;33117
2020;N06BA02 Dexamfetamin;Västmanlands län;Kvinnor;0­19;12;0,39;34;1,10;30907
2020;N06BA02 Dexamfetamin;Västmanlands län;Båda könen;0­19;30;0,47;78;1,22;64024
2020;N06BA02 Dexamfetamin;Dalarnas län;Män;0­19;18;0,54;32;0,96;33247
2020;N06BA02 Dexamfetamin;Dalarnas län;Kvinnor;0­19;11;0,35;34;1,08;31457
2020;N06BA02 Dexamfetamin;Dalarnas län;Båda könen;0­19;29;0,45;66;1,02;64704
2020;N06BA02 Dexamfetamin;Gävleborgs län;Män;0­19;31;0,94;116;3,52;32929
2020;N06BA02 Dexamfetamin;Gävleborgs län;Kvinnor;0­19;9;0,29;36;1,16;30951
2020;N06BA02 Dexamfetamin;Gävleborgs län;Båda könen;0­19;40;0,63;152;2,38;63880
2020;N06BA02 Dexamfetamin;Västernorrlands län;Män;0­19;2;0,07;6;0,21;28134
2020;N06BA02 Dexamfetamin;Västernorrlands län;Kvinnor;0­19;3;0,11;7;0,26;26575
2020;N06BA02 Dexamfetamin;Västernorrlands län;Båda könen;0­19;5;0,09;13;0,24;54709
2020;N06BA02 Dexamfetamin;Jämtlands län;Män;0­19;11;0,73;21;1,40;15026
2020;N06BA02 Dexamfetamin;Jämtlands län;Kvinnor;0­19;17;1,21;36;2,55;14105
2020;N06BA02 Dexamfetamin;Jämtlands län;Båda könen;0­19;28;0,96;57;1,96;29131
2020;N06BA02 Dexamfetamin;Västerbottens län;Män;0­19;54;1,73;140;4,50;31128
2020;N06BA02 Dexamfetamin;Västerbottens län;Kvinnor;0­19;24;0,82;45;1,54;29251
2020;N06BA02 Dexamfetamin;Västerbottens län;Båda könen;0­19;78;1,29;185;3,06;60379
2020;N06BA02 Dexamfetamin;Norrbottens län;Män;0­19;8;0,30;21;0,78;26910
2020;N06BA02 Dexamfetamin;Norrbottens län;Kvinnor;0­19;3;0,12;6;0,24;25057
2020;N06BA02 Dexamfetamin;Norrbottens län;Båda könen;0­19;11;0,21;27;0,52;51967
2020;N06BA04 Metylfenidat;Riket;Män;0­19;30776;24,82;187175;150,95;1239976
2020;N06BA04 Metylfenidat;Riket;Kvinnor;0­19;15227;13,08;83683;71,91;1163754
2020;N06BA04 Metylfenidat;Riket;Båda könen;0­19;46003;19,14;270858;112,68;2403730
2020;N06BA04 Metylfenidat;Stockholms län;Män;0­19;8781;29,84;51101;173,67;294245
2020;N06BA04 Metylfenidat;Stockholms län;Kvinnor;0­19;4636;16,74;24037;86,78;276981
2020;N06BA04 Metylfenidat;Stockholms län;Båda könen;0­19;13417;23,49;75138;131,54;571226
2020;N06BA04 Metylfenidat;Uppsala län;Män;0­19;1281;27,72;7556;163,52;46208
2020;N06BA04 Metylfenidat;Uppsala län;Kvinnor;0­19;621;14,29;3377;77,71;43455
2020;N06BA04 Metylfenidat;Uppsala län;Båda könen;0­19;1902;21,21;10933;121,93;89663
2020;N06BA04 Metylfenidat;Södermanlands län;Män;0­19;935;25,19;5380;144,93;37122
2020;N06BA04 Metylfenidat;Södermanlands län;Kvinnor;0­19;483;13,95;2347;67,79;34621
2020;N06BA04 Metylfenidat;Södermanlands län;Båda könen;0­19;1418;19,76;7727;107,70;71743
2020;N06BA04 Metylfenidat;Östergötlands län;Män;0­19;1173;21,21;7276;131,54;55312
2020;N06BA04 Metylfenidat;Östergötlands län;Kvinnor;0­19;469;9,05;2620;50,57;51806
2020;N06BA04 Metylfenidat;Östergötlands län;Båda könen;0­19;1642;15,33;9896;92,38;107118
2020;N06BA04 Metylfenidat;Jönköpings län;Män;0­19;739;16,35;3959;87,58;45205
2020;N06BA04 Metylfenidat;Jönköpings län;Kvinnor;0­19;303;7,12;1537;36,10;42581
2020;N06BA04 Metylfenidat;Jönköpings län;Båda könen;0­19;1042;11,87;5496;62,61;87786
2020;N06BA04 Metylfenidat;Kronobergs län;Män;0­19;465;18,57;3318;132,51;25040
2020;N06BA04 Metylfenidat;Kronobergs län;Kvinnor;0­19;200;8,60;1258;54,08;23261
2020;N06BA04 Metylfenidat;Kronobergs län;Båda könen;0­19;665;13,77;4576;94,74;48301
2020;N06BA04 Metylfenidat;Kalmar län;Män;0­19;478;17,16;3069;110,19;27853
2020;N06BA04 Metylfenidat;Kalmar län;Kvinnor;0­19;235;9,03;1281;49,20;26038
2020;N06BA04 Metylfenidat;Kalmar län;Båda könen;0­19;713;13,23;4350;80,72;53891
2020;N06BA04 Metylfenidat;Gotlands län;Män;0­19;236;36,82;1144;178,47;6410
2020;N06BA04 Metylfenidat;Gotlands län;Kvinnor;0­19;131;22,10;614;103,58;5928
2020;N06BA04 Metylfenidat;Gotlands län;Båda könen;0­19;367;29,75;1758;142,49;12338
2020;N06BA04 Metylfenidat;Blekinge län;Män;0­19;412;22,04;2408;128,80;18696
2020;N06BA04 Metylfenidat;Blekinge län;Kvinnor;0­19;210;12,10;1169;67,33;17361
2020;N06BA04 Metylfenidat;Blekinge län;Båda könen;0­19;622;17,25;3577;99,20;36057
2020;N06BA04 Metylfenidat;Skåne län;Män;0­19;3535;20,99;20227;120,10;168420
2020;N06BA04 Metylfenidat;Skåne län;Kvinnor;0­19;1728;10,91;8653;54,62;158409
2020;N06BA04 Metylfenidat;Skåne län;Båda könen;0­19;5263;16,10;28880;88,36;326829
2020;N06BA04 Metylfenidat;Hallands län;Män;0­19;1497;36,13;9329;225,17;41430
2020;N06BA04 Metylfenidat;Hallands län;Kvinnor;0­19;785;20,35;4281;110,97;38577
2020;N06BA04 Metylfenidat;Hallands län;Båda könen;0­19;2282;28,52;13610;170,11;80007
2020;N06BA04 Metylfenidat;Västra Götalands län;Män;0­19;4326;21,04;27875;135,59;205580
2020;N06BA04 Metylfenidat;Västra Götalands län;Kvinnor;0­19;1946;10,10;11416;59,26;192643
2020;N06BA04 Metylfenidat;Västra Götalands län;Båda könen;0­19;6272;15,75;39291;98,67;398223
2020;N06BA04 Metylfenidat;Värmlands län;Män;0­19;842;26,68;5747;182,11;31558
2020;N06BA04 Metylfenidat;Värmlands län;Kvinnor;0­19;466;15,84;2925;99,45;29413
2020;N06BA04 Metylfenidat;Värmlands län;Båda könen;0­19;1308;21,45;8672;142,23;60971
2020;N06BA04 Metylfenidat;Örebro län;Män;0­19;764;20,99;5128;140,86;36406
2020;N06BA04 Metylfenidat;Örebro län;Kvinnor;0­19;343;9,98;2094;60,91;34377
2020;N06BA04 Metylfenidat;Örebro län;Båda könen;0­19;1107;15,64;7222;102,03;70783
2020;N06BA04 Metylfenidat;Västmanlands län;Män;0­19;868;26,21;4572;138,06;33117
2020;N06BA04 Metylfenidat;Västmanlands län;Kvinnor;0­19;466;15,08;2313;74,84;30907
2020;N06BA04 Metylfenidat;Västmanlands län;Båda könen;0­19;1334;20,84;6885;107,54;64024
2020;N06BA04 Metylfenidat;Dalarnas län;Män;0­19;980;29,48;5759;173,22;33247
2020;N06BA04 Metylfenidat;Dalarnas län;Kvinnor;0­19;541;17,20;2940;93,46;31457
2020;N06BA04 Metylfenidat;Dalarnas län;Båda könen;0­19;1521;23,51;8699;134,44;64704
2020;N06BA04 Metylfenidat;Gävleborgs län;Män;0­19;1055;32,04;7398;224,67;32929
2020;N06BA04 Metylfenidat;Gävleborgs län;Kvinnor;0­19;513;16,57;3305;106,78;30951
2020;N06BA04 Metylfenidat;Gävleborgs län;Båda könen;0­19;1568;24,55;10703;167,55;63880
2020;N06BA04 Metylfenidat;Västernorrlands län;Män;0­19;656;23,32;3833;136,24;28134
2020;N06BA04 Metylfenidat;Västernorrlands län;Kvinnor;0­19;305;11,48;1728;65,02;26575
2020;N06BA04 Metylfenidat;Västernorrlands län;Båda könen;0­19;961;17,57;5561;101,65;54709
2020;N06BA04 Metylfenidat;Jämtlands län;Män;0­19;264;17,57;1329;88,45;15026
2020;N06BA04 Metylfenidat;Jämtlands län;Kvinnor;0­19;135;9,57;668;47,36;14105
2020;N06BA04 Metylfenidat;Jämtlands län;Båda könen;0­19;399;13,70;1997;68,55;29131
2020;N06BA04 Metylfenidat;Västerbottens län;Män;0­19;879;28,24;5624;180,67;31128
2020;N06BA04 Metylfenidat;Västerbottens län;Kvinnor;0­19;429;14,67;2548;87,11;29251
2020;N06BA04 Metylfenidat;Västerbottens län;Båda könen;0­19;1308;21,66;8172;135,35;60379
2020;N06BA04 Metylfenidat;Norrbottens län;Män;0­19;690;25,64;4143;153,96;26910
2020;N06BA04 Metylfenidat;Norrbottens län;Kvinnor;0­19;351;14,01;2131;85,05;25057
2020;N06BA04 Metylfenidat;Norrbottens län;Båda könen;0­19;1041;20,03;6274;120,73;51967
2020;N06BA09 Atomoxetin;Riket;Män;0­19;5647;4,55;36798;29,68;1239976
2020;N06BA09 Atomoxetin;Riket;Kvinnor;0­19;2787;2,39;16260;13,97;1163754
2020;N06BA09 Atomoxetin;Riket;Båda könen;0­19;8434;3,51;53058;22,07;2403730
2020;N06BA09 Atomoxetin;Stockholms län;Män;0­19;1624;5,52;10256;34,86;294245
2020;N06BA09 Atomoxetin;Stockholms län;Kvinnor;0­19;809;2,92;4448;16,06;276981
2020;N06BA09 Atomoxetin;Stockholms län;Båda könen;0­19;2433;4,26;14704;25,74;571226
2020;N06BA09 Atomoxetin;Uppsala län;Män;0­19;191;4,13;1171;25,34;46208
2020;N06BA09 Atomoxetin;Uppsala län;Kvinnor;0­19;100;2,30;527;12,13;43455
2020;N06BA09 Atomoxetin;Uppsala län;Båda könen;0­19;291;3,25;1698;18,94;89663
2020;N06BA09 Atomoxetin;Södermanlands län;Män;0­19;259;6,98;1730;46,60;37122
2020;N06BA09 Atomoxetin;Södermanlands län;Kvinnor;0­19;137;3,96;798;23,05;34621
2020;N06BA09 Atomoxetin;Södermanlands län;Båda könen;0­19;396;5,52;2528;35,24;71743
2020;N06BA09 Atomoxetin;Östergötlands län;Män;0­19;235;4,25;1528;27,63;55312
2020;N06BA09 Atomoxetin;Östergötlands län;Kvinnor;0­19;105;2,03;728;14,05;51806
2020;N06BA09 Atomoxetin;Östergötlands län;Båda könen;0­19;340;3,17;2256;21,06;107118
2020;N06BA09 Atomoxetin;Jönköpings län;Män;0­19;128;2,83;914;20,22;45205
2020;N06BA09 Atomoxetin;Jönköpings län;Kvinnor;0­19;40;0,94;266;6,25;42581
2020;N06BA09 Atomoxetin;Jönköpings län;Båda könen;0­19;168;1,91;1180;13,44;87786
2020;N06BA09 Atomoxetin;Kronobergs län;Män;0­19;98;3,91;755;30,15;25040
2020;N06BA09 Atomoxetin;Kronobergs län;Kvinnor;0­19;37;1,59;201;8,64;23261
2020;N06BA09 Atomoxetin;Kronobergs län;Båda könen;0­19;135;2,79;956;19,79;48301
2020;N06BA09 Atomoxetin;Kalmar län;Män;0­19;84;3,02;576;20,68;27853
2020;N06BA09 Atomoxetin;Kalmar län;Kvinnor;0­19;39;1,50;246;9,45;26038
2020;N06BA09 Atomoxetin;Kalmar län;Båda könen;0­19;123;2,28;822;15,25;53891
2020;N06BA09 Atomoxetin;Gotlands län;Män;0­19;61;9,52;328;51,17;6410
2020;N06BA09 Atomoxetin;Gotlands län;Kvinnor;0­19;39;6,58;200;33,74;5928
2020;N06BA09 Atomoxetin;Gotlands län;Båda könen;0­19;100;8,11;528;42,79;12338
2020;N06BA09 Atomoxetin;Blekinge län;Män;0­19;67;3,58;409;21,88;18696
2020;N06BA09 Atomoxetin;Blekinge län;Kvinnor;0­19;29;1,67;206;11,87;17361
2020;N06BA09 Atomoxetin;Blekinge län;Båda könen;0­19;96;2,66;615;17,06;36057
2020;N06BA09 Atomoxetin;Skåne län;Män;0­19;779;4,63;4780;28,38;168420
2020;N06BA09 Atomoxetin;Skåne län;Kvinnor;0­19;349;2,20;1691;10,67;158409
2020;N06BA09 Atomoxetin;Skåne län;Båda könen;0­19;1128;3,45;6471;19,80;326829
2020;N06BA09 Atomoxetin;Hallands län;Män;0­19;265;6,40;1535;37,05;41430
2020;N06BA09 Atomoxetin;Hallands län;Kvinnor;0­19;172;4,46;961;24,91;38577
2020;N06BA09 Atomoxetin;Hallands län;Båda könen;0­19;437;5,46;2496;31,20;80007
2020;N06BA09 Atomoxetin;Västra Götalands län;Män;0­19;673;3,27;4745;23,08;205580
2020;N06BA09 Atomoxetin;Västra Götalands län;Kvinnor;0­19;341;1,77;2225;11,55;192643
2020;N06BA09 Atomoxetin;Västra Götalands län;Båda könen;0­19;1014;2,55;6970;17,50;398223
2020;N06BA09 Atomoxetin;Värmlands län;Män;0­19;58;1,84;386;12,23;31558
2020;N06BA09 Atomoxetin;Värmlands län;Kvinnor;0­19;30;1,02;221;7,51;29413
2020;N06BA09 Atomoxetin;Värmlands län;Båda könen;0­19;88;1,44;607;9,96;60971
2020;N06BA09 Atomoxetin;Örebro län;Män;0­19;118;3,24;887;24,36;36406
2020;N06BA09 Atomoxetin;Örebro län;Kvinnor;0­19;63;1,83;389;11,32;34377
2020;N06BA09 Atomoxetin;Örebro län;Båda könen;0­19;181;2,56;1276;18,03;70783
2020;N06BA09 Atomoxetin;Västmanlands län;Män;0­19;143;4,32;857;25,88;33117
2020;N06BA09 Atomoxetin;Västmanlands län;Kvinnor;0­19;84;2,72;460;14,88;30907
2020;N06BA09 Atomoxetin;Västmanlands län;Båda könen;0­19;227;3,55;1317;20,57;64024
2020;N06BA09 Atomoxetin;Dalarnas län;Män;0­19;171;5,14;1118;33,63;33247
2020;N06BA09 Atomoxetin;Dalarnas län;Kvinnor;0­19;90;2,86;450;14,31;31457
2020;N06BA09 Atomoxetin;Dalarnas län;Båda könen;0­19;261;4,03;1568;24,23;64704
2020;N06BA09 Atomoxetin;Gävleborgs län;Män;0­19;194;5,89;1272;38,63;32929
2020;N06BA09 Atomoxetin;Gävleborgs län;Kvinnor;0­19;86;2,78;604;19,51;30951
2020;N06BA09 Atomoxetin;Gävleborgs län;Båda könen;0­19;280;4,38;1876;29,37;63880
2020;N06BA09 Atomoxetin;Västernorrlands län;Män;0­19;148;5,26;923;32,81;28134
2020;N06BA09 Atomoxetin;Västernorrlands län;Kvinnor;0­19;69;2,60;350;13,17;26575
2020;N06BA09 Atomoxetin;Västernorrlands län;Båda könen;0­19;217;3,97;1273;23,27;54709
2020;N06BA09 Atomoxetin;Jämtlands län;Män;0­19;78;5,19;577;38,40;15026
2020;N06BA09 Atomoxetin;Jämtlands län;Kvinnor;0­19;38;2,69;251;17,80;14105
2020;N06BA09 Atomoxetin;Jämtlands län;Båda könen;0­19;116;3,98;828;28,42;29131
2020;N06BA09 Atomoxetin;Västerbottens län;Män;0­19;166;5,33;1028;33,02;31128
2020;N06BA09 Atomoxetin;Västerbottens län;Kvinnor;0­19;90;3,08;582;19,90;29251
2020;N06BA09 Atomoxetin;Västerbottens län;Båda könen;0­19;256;4,24;1610;26,66;60379
2020;N06BA09 Atomoxetin;Norrbottens län;Män;0­19;127;4,72;860;31,96;26910
2020;N06BA09 Atomoxetin;Norrbottens län;Kvinnor;0­19;53;2,12;365;14,57;25057
2020;N06BA09 Atomoxetin;Norrbottens län;Båda könen;0­19;180;3,46;1225;23,57;51967
2020;N06BA12 Lisdexamfetamin;Riket;Män;0­19;14567;11,75;71650;57,78;1239976
2020;N06BA12 Lisdexamfetamin;Riket;Kvinnor;0­19;8464;7,27;40259;34,59;1163754
2020;N06BA12 Lisdexamfetamin;Riket;Båda könen;0­19;23031;9,58;111909;46,56;2403730
2020;N06BA12 Lisdexamfetamin;Stockholms län;Män;0­19;4264;14,49;19687;66,91;294245
2020;N06BA12 Lisdexamfetamin;Stockholms län;Kvinnor;0­19;2735;9,87;12253;44,24;276981
2020;N06BA12 Lisdexamfetamin;Stockholms län;Båda könen;0­19;6999;12,25;31940;55,91;571226
2020;N06BA12 Lisdexamfetamin;Uppsala län;Män;0­19;681;14,74;3026;65,49;46208
2020;N06BA12 Lisdexamfetamin;Uppsala län;Kvinnor;0­19;400;9,20;1728;39,77;43455
2020;N06BA12 Lisdexamfetamin;Uppsala län;Båda könen;0­19;1081;12,06;4754;53,02;89663
2020;N06BA12 Lisdexamfetamin;Södermanlands län;Män;0­19;559;15,06;2502;67,40;37122
2020;N06BA12 Lisdexamfetamin;Södermanlands län;Kvinnor;0­19;293;8,46;1303;37,64;34621
2020;N06BA12 Lisdexamfetamin;Södermanlands län;Båda könen;0­19;852;11,88;3805;53,04;71743
2020;N06BA12 Lisdexamfetamin;Östergötlands län;Män;0­19;586;10,59;2751;49,74;55312
2020;N06BA12 Lisdexamfetamin;Östergötlands län;Kvinnor;0­19;263;5,08;1386;26,75;51806
2020;N06BA12 Lisdexamfetamin;Östergötlands län;Båda könen;0­19;849;7,93;4137;38,62;107118
