År;Läkemedel;Region;Kön;Ålder;Antal patienter;Patienter/1000 invånare;Expedieringar/1000 invånare;Befolkning
2023;C02AC02 Guanfacin;Skåne län;Båda könen;0­19;1597;4,77;26,71;334532
2023;C02AC02 Guanfacin;Hallands län;Män;0­19;657;15,59;84,29;42153
2023;C02AC02 Guanfacin;Hallands län;Kvinnor;0­19;307;7,70;36,02;39869
2023;C02AC02 Guanfacin;Hallands län;Båda könen;0­19;964;11,75;60,83;82022
2023;C02AC02 Guanfacin;Västra Götalands län;Män;0­19;1617;7,77;49,78;208226
2023;C02AC02 Guanfacin;Västra Götalands län;Kvinnor;0­19;679;3,47;20,83;195568
2023;C02AC02 Guanfacin;Västra Götalands län;Båda könen;0­19;2296;5,69;35,76;403794
2023;C02AC02 Guanfacin;Värmlands län;Män;0­19;195;6,18;41,91;31571
2023;C02AC02 Guanfacin;Värmlands län;Kvinnor;0­19;61;2,07;14,66;29477
2023;C02AC02 Guanfacin;Värmlands län;Båda könen;0­19;256;4,19;28,75;61048
2023;C02AC02 Guanfacin;Örebro län;Män;0­19;315;8,68;56,50;36283
2023;C02AC02 Guanfacin;Örebro län;Kvinnor;0­19;122;3,53;20,97;34576
2023;C02AC02 Guanfacin;Örebro län;Båda könen;0­19;437;6,17;39,16;70859
2023;C02AC02 Guanfacin;Västmanlands län;Män;0­19;413;12,20;69,01;33863
2023;C02AC02 Guanfacin;Västmanlands län;Kvinnor;0­19;193;6,13;32,88;31508
2023;C02AC02 Guanfacin;Västmanlands län;Båda könen;0­19;606;9,27;51,60;65371
2023;C02AC02 Guanfacin;Dalarnas län;Män;0­19;320;9,72;56,75;32933
2023;C02AC02 Guanfacin;Dalarnas län;Kvinnor;0­19;118;3,76;19,99;31419
2023;C02AC02 Guanfacin;Dalarnas län;Båda könen;0­19;438;6,81;38,80;64352
2023;C02AC02 Guanfacin;Gävleborgs län;Män;0­19;268;8,25;69,12;32479
2023;C02AC02 Guanfacin;Gävleborgs län;Kvinnor;0­19;119;3,86;24,31;30805
2023;C02AC02 Guanfacin;Gävleborgs län;Båda könen;0­19;387;6,12;47,31;63284
2023;C02AC02 Guanfacin;Västernorrlands län;Män;0­19;205;7,44;47,41;27569
2023;C02AC02 Guanfacin;Västernorrlands län;Kvinnor;0­19;81;3,11;18,87;26079
2023;C02AC02 Guanfacin;Västernorrlands län;Båda könen;0­19;286;5,33;33,53;53648
2023;C02AC02 Guanfacin;Jämtlands län;Män;0­19;148;9,67;58,06;15311
2023;C02AC02 Guanfacin;Jämtlands län;Kvinnor;0­19;57;3,97;20,91;14345
2023;C02AC02 Guanfacin;Jämtlands län;Båda könen;0­19;205;6,91;40,09;29656
2023;C02AC02 Guanfacin;Västerbottens län;Män;0­19;200;6,35;43,60;31512
2023;C02AC02 Guanfacin;Västerbottens län;Kvinnor;0­19;86;2,91;16,05;29540
2023;C02AC02 Guanfacin;Västerbottens län;Båda könen;0­19;286;4,68;30,27;61052
2023;C02AC02 Guanfacin;Norrbottens län;Män;0­19;336;12,69;83,14;26472
2023;C02AC02 Guanfacin;Norrbottens län;Kvinnor;0­19;148;5,96;37,20;24813
2023;C02AC02 Guanfacin;Norrbottens län;Båda könen;0­19;484;9,44;60,91;51285
2023;N06BA02 Dexamfetamin;Riket;Män;0­19;1514;1,21;3,77;1251545
2023;N06BA02 Dexamfetamin;Riket;Kvinnor;0­19;965;0,82;2,37;1180395
2023;N06BA02 Dexamfetamin;Riket;Båda könen;0­19;2479;1,02;3,09;2431940
2023;N06BA02 Dexamfetamin;Stockholms län;Män;0­19;404;1,36;3,88;297151
2023;N06BA02 Dexamfetamin;Stockholms län;Kvinnor;0­19;280;1,00;2,81;280746
2023;N06BA02 Dexamfetamin;Stockholms län;Båda könen;0­19;684;1,18;3,36;577897
2023;N06BA02 Dexamfetamin;Uppsala län;Män;0­19;124;2,60;7,75;47625
2023;N06BA02 Dexamfetamin;Uppsala län;Kvinnor;0­19;68;1,50;4,46;45301
2023;N06BA02 Dexamfetamin;Uppsala län;Båda könen;0­19;192;2,07;6,14;92926
2023;N06BA02 Dexamfetamin;Södermanlands län;Män;0­19;48;1,28;3,83;37379
2023;N06BA02 Dexamfetamin;Södermanlands län;Kvinnor;0­19;33;0,94;2,20;34952
2023;N06BA02 Dexamfetamin;Södermanlands län;Båda könen;0­19;81;1,12;3,04;72331
2023;N06BA02 Dexamfetamin;Östergötlands län;Män;0­19;37;0,66;2,13;55747
2023;N06BA02 Dexamfetamin;Östergötlands län;Kvinnor;0­19;21;0,40;1,11;52451
2023;N06BA02 Dexamfetamin;Östergötlands län;Båda könen;0­19;58;0,54;1,64;108198
2023;N06BA02 Dexamfetamin;Jönköpings län;Män;0­19;33;0,72;2,23;45695
2023;N06BA02 Dexamfetamin;Jönköpings län;Kvinnor;0­19;18;0,42;1,07;43175
2023;N06BA02 Dexamfetamin;Jönköpings län;Båda könen;0­19;51;0,57;1,67;88870
2023;N06BA02 Dexamfetamin;Kronobergs län;Män;0­19;41;1,63;4,37;25173
2023;N06BA02 Dexamfetamin;Kronobergs län;Kvinnor;0­19;21;0,89;2,45;23720
2023;N06BA02 Dexamfetamin;Kronobergs län;Båda könen;0­19;62;1,27;3,44;48893
2023;N06BA02 Dexamfetamin;Kalmar län;Män;0­19;47;1,69;4,96;27795
2023;N06BA02 Dexamfetamin;Kalmar län;Kvinnor;0­19;25;0,95;2,28;26321
2023;N06BA02 Dexamfetamin;Kalmar län;Båda könen;0­19;72;1,33;3,66;54116
2023;N06BA02 Dexamfetamin;Gotlands län;Män;0­19;4;0,62;2,33;6435
2023;N06BA02 Dexamfetamin;Gotlands län;Kvinnor;0­19;3;0,49;0,82;6079
2023;N06BA02 Dexamfetamin;Gotlands län;Båda könen;0­19;7;0,56;1,60;12514
2023;N06BA02 Dexamfetamin;Blekinge län;Män;0­19;65;3,56;12,12;18236
2023;N06BA02 Dexamfetamin;Blekinge län;Kvinnor;0­19;41;2,40;7,45;17056
2023;N06BA02 Dexamfetamin;Blekinge län;Båda könen;0­19;106;3,00;9,86;35292
2023;N06BA02 Dexamfetamin;Skåne län;Män;0­19;110;0,64;2,29;171937
2023;N06BA02 Dexamfetamin;Skåne län;Kvinnor;0­19;70;0,43;1,08;162595
2023;N06BA02 Dexamfetamin;Skåne län;Båda könen;0­19;180;0,54;1,70;334532
2023;N06BA02 Dexamfetamin;Hallands län;Män;0­19;86;2,04;6,74;42153
2023;N06BA02 Dexamfetamin;Hallands län;Kvinnor;0­19;75;1,88;6,45;39869
2023;N06BA02 Dexamfetamin;Hallands län;Båda könen;0­19;161;1,96;6,60;82022
2023;N06BA02 Dexamfetamin;Västra Götalands län;Män;0­19;190;0,91;2,77;208226
2023;N06BA02 Dexamfetamin;Västra Götalands län;Kvinnor;0­19;128;0,65;2,09;195568
2023;N06BA02 Dexamfetamin;Västra Götalands län;Båda könen;0­19;318;0,79;2,44;403794
2023;N06BA02 Dexamfetamin;Värmlands län;Män;0­19;30;0,95;3,83;31571
2023;N06BA02 Dexamfetamin;Värmlands län;Kvinnor;0­19;17;0,58;1,76;29477
2023;N06BA02 Dexamfetamin;Värmlands län;Båda könen;0­19;47;0,77;2,83;61048
2023;N06BA02 Dexamfetamin;Örebro län;Män;0­19;27;0,74;2,43;36283
2023;N06BA02 Dexamfetamin;Örebro län;Kvinnor;0­19;14;0,40;1,24;34576
2023;N06BA02 Dexamfetamin;Örebro län;Båda könen;0­19;41;0,58;1,85;70859
2023;N06BA02 Dexamfetamin;Västmanlands län;Män;0­19;52;1,54;4,10;33863
2023;N06BA02 Dexamfetamin;Västmanlands län;Kvinnor;0­19;23;0,73;2,06;31508
2023;N06BA02 Dexamfetamin;Västmanlands län;Båda könen;0­19;75;1,15;3,12;65371
2023;N06BA02 Dexamfetamin;Dalarnas län;Män;0­19;46;1,40;5,34;32933
2023;N06BA02 Dexamfetamin;Dalarnas län;Kvinnor;0­19;25;0,80;2,45;31419
2023;N06BA02 Dexamfetamin;Dalarnas län;Båda könen;0­19;71;1,10;3,93;64352
2023;N06BA02 Dexamfetamin;Gävleborgs län;Män;0­19;46;1,42;4,74;32479
2023;N06BA02 Dexamfetamin;Gävleborgs län;Kvinnor;0­19;25;0,81;1,92;30805
2023;N06BA02 Dexamfetamin;Gävleborgs län;Båda könen;0­19;71;1,12;3,37;63284
2023;N06BA02 Dexamfetamin;Västernorrlands län;Män;0­19;3;0,11;0,62;27569
2023;N06BA02 Dexamfetamin;Västernorrlands län;Kvinnor;0­19;3;0,12;0,23;26079
2023;N06BA02 Dexamfetamin;Västernorrlands län;Båda könen;0­19;6;0,11;0,43;53648
2023;N06BA02 Dexamfetamin;Jämtlands län;Män;0­19;20;1,31;3,33;15311
2023;N06BA02 Dexamfetamin;Jämtlands län;Kvinnor;0­19;22;1,53;5,16;14345
2023;N06BA02 Dexamfetamin;Jämtlands län;Båda könen;0­19;42;1,42;4,21;29656
2023;N06BA02 Dexamfetamin;Västerbottens län;Män;0­19;75;2,38;7,52;31512
2023;N06BA02 Dexamfetamin;Västerbottens län;Kvinnor;0­19;40;1,35;3,96;29540
2023;N06BA02 Dexamfetamin;Västerbottens län;Båda könen;0­19;115;1,88;5,80;61052
2023;N06BA02 Dexamfetamin;Norrbottens län;Män;0­19;22;0,83;2,49;26472
2023;N06BA02 Dexamfetamin;Norrbottens län;Kvinnor;0­19;13;0,52;1,09;24813
2023;N06BA02 Dexamfetamin;Norrbottens län;Båda könen;0­19;35;0,68;1,81;51285
2023;N06BA04 Metylfenidat;Riket;Män;0­19;39698;31,72;195,69;1251545
2023;N06BA04 Metylfenidat;Riket;Kvinnor;0­19;24199;20,50;111,96;1180395
2023;N06BA04 Metylfenidat;Riket;Båda könen;0­19;63897;26,27;155,05;2431940
2023;N06BA04 Metylfenidat;Stockholms län;Män;0­19;10724;36,09;211,86;297151
2023;N06BA04 Metylfenidat;Stockholms län;Kvinnor;0­19;6883;24,52;127,89;280746
2023;N06BA04 Metylfenidat;Stockholms län;Båda könen;0­19;17607;30,47;171,07;577897
2023;N06BA04 Metylfenidat;Uppsala län;Män;0­19;1616;33,93;191,58;47625
2023;N06BA04 Metylfenidat;Uppsala län;Kvinnor;0­19;939;20,73;101,96;45301
2023;N06BA04 Metylfenidat;Uppsala län;Båda könen;0­19;2555;27,49;147,89;92926
2023;N06BA04 Metylfenidat;Södermanlands län;Män;0­19;1244;33,28;176,73;37379
2023;N06BA04 Metylfenidat;Södermanlands län;Kvinnor;0­19;802;22,95;109,04;34952
2023;N06BA04 Metylfenidat;Södermanlands län;Båda könen;0­19;2046;28,29;144,02;72331
2023;N06BA04 Metylfenidat;Östergötlands län;Män;0­19;1395;25,02;160,42;55747
2023;N06BA04 Metylfenidat;Östergötlands län;Kvinnor;0­19;747;14,24;78,55;52451
2023;N06BA04 Metylfenidat;Östergötlands län;Båda könen;0­19;2142;19,80;120,73;108198
2023;N06BA04 Metylfenidat;Jönköpings län;Män;0­19;1352;29,59;181,31;45695
2023;N06BA04 Metylfenidat;Jönköpings län;Kvinnor;0­19;769;17,81;98,78;43175
2023;N06BA04 Metylfenidat;Jönköpings län;Båda könen;0­19;2121;23,87;141,22;88870
2023;N06BA04 Metylfenidat;Kronobergs län;Män;0­19;730;29,00;189,29;25173
2023;N06BA04 Metylfenidat;Kronobergs län;Kvinnor;0­19;414;17,45;101,26;23720
2023;N06BA04 Metylfenidat;Kronobergs län;Båda könen;0­19;1144;23,40;146,59;48893
2023;N06BA04 Metylfenidat;Kalmar län;Män;0­19;741;26,66;175,72;27795
2023;N06BA04 Metylfenidat;Kalmar län;Kvinnor;0­19;444;16,87;99,05;26321
2023;N06BA04 Metylfenidat;Kalmar län;Båda könen;0­19;1185;21,90;138,42;54116
2023;N06BA04 Metylfenidat;Gotlands län;Män;0­19;283;43,98;195,18;6435
2023;N06BA04 Metylfenidat;Gotlands län;Kvinnor;0­19;183;30,10;139,33;6079
2023;N06BA04 Metylfenidat;Gotlands län;Båda könen;0­19;466;37,24;168,05;12514
2023;N06BA04 Metylfenidat;Blekinge län;Män;0­19;619;33,94;216,22;18236
2023;N06BA04 Metylfenidat;Blekinge län;Kvinnor;0­19;409;23,98;128,05;17056
2023;N06BA04 Metylfenidat;Blekinge län;Båda könen;0­19;1028;29,13;173,61;35292
2023;N06BA04 Metylfenidat;Skåne län;Män;0­19;4454;25,90;150,71;171937
2023;N06BA04 Metylfenidat;Skåne län;Kvinnor;0­19;2743;16,87;88,48;162595
2023;N06BA04 Metylfenidat;Skåne län;Båda könen;0­19;7197;21,51;120,46;334532
2023;N06BA04 Metylfenidat;Hallands län;Män;0­19;1935;45,90;263,35;42153
2023;N06BA04 Metylfenidat;Hallands län;Kvinnor;0­19;1212;30,40;157,14;39869
2023;N06BA04 Metylfenidat;Hallands län;Båda könen;0­19;3147;38,37;211,72;82022
2023;N06BA04 Metylfenidat;Västra Götalands län;Män;0­19;5567;26,74;177,39;208226
2023;N06BA04 Metylfenidat;Västra Götalands län;Kvinnor;0­19;3090;15,80;94,24;195568
2023;N06BA04 Metylfenidat;Västra Götalands län;Båda könen;0­19;8657;21,44;137,12;403794
2023;N06BA04 Metylfenidat;Värmlands län;Män;0­19;826;26,16;183,14;31571
2023;N06BA04 Metylfenidat;Värmlands län;Kvinnor;0­19;487;16,52;103,64;29477
2023;N06BA04 Metylfenidat;Värmlands län;Båda könen;0­19;1313;21,51;144,75;61048
2023;N06BA04 Metylfenidat;Örebro län;Män;0­19;1197;32,99;231,18;36283
2023;N06BA04 Metylfenidat;Örebro län;Kvinnor;0­19;651;18,83;120,26;34576
2023;N06BA04 Metylfenidat;Örebro län;Båda könen;0­19;1848;26,08;177,06;70859
2023;N06BA04 Metylfenidat;Västmanlands län;Män;0­19;1329;39,25;207,60;33863
2023;N06BA04 Metylfenidat;Västmanlands län;Kvinnor;0­19;868;27,55;131,08;31508
2023;N06BA04 Metylfenidat;Västmanlands län;Båda könen;0­19;2197;33,61;170,72;65371
2023;N06BA04 Metylfenidat;Dalarnas län;Män;0­19;1444;43,85;281,88;32933
2023;N06BA04 Metylfenidat;Dalarnas län;Kvinnor;0­19;950;30,24;167,41;31419
2023;N06BA04 Metylfenidat;Dalarnas län;Båda könen;0­19;2394;37,20;225,99;64352
2023;N06BA04 Metylfenidat;Gävleborgs län;Män;0­19;1140;35,10;265,09;32479
2023;N06BA04 Metylfenidat;Gävleborgs län;Kvinnor;0­19;749;24,31;150,85;30805
2023;N06BA04 Metylfenidat;Gävleborgs län;Båda könen;0­19;1889;29,85;209,48;63284
2023;N06BA04 Metylfenidat;Västernorrlands län;Män;0­19;649;23,54;140,96;27569
2023;N06BA04 Metylfenidat;Västernorrlands län;Kvinnor;0­19;350;13,42;70,32;26079
2023;N06BA04 Metylfenidat;Västernorrlands län;Båda könen;0­19;999;18,62;106,62;53648
2023;N06BA04 Metylfenidat;Jämtlands län;Män;0­19;476;31,09;183,59;15311
2023;N06BA04 Metylfenidat;Jämtlands län;Kvinnor;0­19;337;23,49;134,47;14345
2023;N06BA04 Metylfenidat;Jämtlands län;Båda könen;0­19;813;27,41;159,83;29656
2023;N06BA04 Metylfenidat;Västerbottens län;Män;0­19;945;29,99;199,45;31512
2023;N06BA04 Metylfenidat;Västerbottens län;Kvinnor;0­19;583;19,74;107,82;29540
2023;N06BA04 Metylfenidat;Västerbottens län;Båda könen;0­19;1528;25,03;155,11;61052
2023;N06BA04 Metylfenidat;Norrbottens län;Män;0­19;1018;38,46;249,77;26472
2023;N06BA04 Metylfenidat;Norrbottens län;Kvinnor;0­19;620;24,99;130,05;24813
2023;N06BA04 Metylfenidat;Norrbottens län;Båda könen;0­19;1638;31,94;191,85;51285
2023;N06BA09 Atomoxetin;Riket;Män;0­19;6890;5,51;34,16;1251545
2023;N06BA09 Atomoxetin;Riket;Kvinnor;0­19;4165;3,53;19,56;1180395
2023;N06BA09 Atomoxetin;Riket;Båda könen;0­19;11055;4,55;27,07;2431940
2023;N06BA09 Atomoxetin;Stockholms län;Män;0­19;1643;5,53;33,41;297151
2023;N06BA09 Atomoxetin;Stockholms län;Kvinnor;0­19;1091;3,89;21,02;280746
2023;N06BA09 Atomoxetin;Stockholms län;Båda könen;0­19;2734;4,73;27,39;577897
2023;N06BA09 Atomoxetin;Uppsala län;Män;0­19;222;4,66;27,49;47625
2023;N06BA09 Atomoxetin;Uppsala län;Kvinnor;0­19;124;2,74;15,41;45301
2023;N06BA09 Atomoxetin;Uppsala län;Båda könen;0­19;346;3,72;21,60;92926
2023;N06BA09 Atomoxetin;Södermanlands län;Män;0­19;301;8,05;51,63;37379
2023;N06BA09 Atomoxetin;Södermanlands län;Kvinnor;0­19;151;4,32;26,49;34952
2023;N06BA09 Atomoxetin;Södermanlands län;Båda könen;0­19;452;6,25;39,49;72331
2023;N06BA09 Atomoxetin;Östergötlands län;Män;0­19;389;6,98;46,76;55747
2023;N06BA09 Atomoxetin;Östergötlands län;Kvinnor;0­19;222;4,23;25,66;52451
2023;N06BA09 Atomoxetin;Östergötlands län;Båda könen;0­19;611;5,65;36,53;108198
2023;N06BA09 Atomoxetin;Jönköpings län;Män;0­19;221;4,84;32,04;45695
2023;N06BA09 Atomoxetin;Jönköpings län;Kvinnor;0­19;113;2,62;14,31;43175
2023;N06BA09 Atomoxetin;Jönköpings län;Båda könen;0­19;334;3,76;23,43;88870
2023;N06BA09 Atomoxetin;Kronobergs län;Män;0­19;215;8,54;50,89;25173
2023;N06BA09 Atomoxetin;Kronobergs län;Kvinnor;0­19;110;4,64;29,76;23720
2023;N06BA09 Atomoxetin;Kronobergs län;Båda könen;0­19;325;6,65;40,64;48893
2023;N06BA09 Atomoxetin;Kalmar län;Män;0­19;152;5,47;34,68;27795
2023;N06BA09 Atomoxetin;Kalmar län;Kvinnor;0­19;91;3,46;18,81;26321
2023;N06BA09 Atomoxetin;Kalmar län;Båda könen;0­19;243;4,49;26,96;54116
2023;N06BA09 Atomoxetin;Gotlands län;Män;0­19;76;11,81;75,52;6435
2023;N06BA09 Atomoxetin;Gotlands län;Kvinnor;0­19;54;8,88;34,55;6079
2023;N06BA09 Atomoxetin;Gotlands län;Båda könen;0­19;130;10,39;55,62;12514
2023;N06BA09 Atomoxetin;Blekinge län;Män;0­19;102;5,59;32,24;18236
2023;N06BA09 Atomoxetin;Blekinge län;Kvinnor;0­19;66;3,87;22,05;17056
2023;N06BA09 Atomoxetin;Blekinge län;Båda könen;0­19;168;4,76;27,31;35292
2023;N06BA09 Atomoxetin;Skåne län;Män;0­19;839;4,88;28,43;171937
2023;N06BA09 Atomoxetin;Skåne län;Kvinnor;0­19;518;3,19;16,84;162595
2023;N06BA09 Atomoxetin;Skåne län;Båda könen;0­19;1357;4,06;22,80;334532
2023;N06BA09 Atomoxetin;Hallands län;Män;0­19;301;7,14;38,53;42153
2023;N06BA09 Atomoxetin;Hallands län;Kvinnor;0­19;212;5,32;25,78;39869
2023;N06BA09 Atomoxetin;Hallands län;Båda könen;0­19;513;6,25;32,33;82022
2023;N06BA09 Atomoxetin;Västra Götalands län;Män;0­19;996;4,78;31,36;208226
2023;N06BA09 Atomoxetin;Västra Götalands län;Kvinnor;0­19;546;2,79;16,13;195568
2023;N06BA09 Atomoxetin;Västra Götalands län;Båda könen;0­19;1542;3,82;23,98;403794
2023;N06BA09 Atomoxetin;Värmlands län;Män;0­19;51;1,62;9,22;31571
2023;N06BA09 Atomoxetin;Värmlands län;Kvinnor;0­19;24;0,81;4,55;29477
2023;N06BA09 Atomoxetin;Värmlands län;Båda könen;0­19;75;1,23;6,96;61048
2023;N06BA09 Atomoxetin;Örebro län;Män;0­19;177;4,88;31,09;36283
2023;N06BA09 Atomoxetin;Örebro län;Kvinnor;0­19;131;3,79;22,30;34576
2023;N06BA09 Atomoxetin;Örebro län;Båda könen;0­19;308;4,35;26,80;70859
2023;N06BA09 Atomoxetin;Västmanlands län;Män;0­19;241;7,12;43,17;33863
2023;N06BA09 Atomoxetin;Västmanlands län;Kvinnor;0­19;142;4,51;24,44;31508
2023;N06BA09 Atomoxetin;Västmanlands län;Båda könen;0­19;383;5,86;34,14;65371
2023;N06BA09 Atomoxetin;Dalarnas län;Män;0­19;215;6,53;38,68;32933
2023;N06BA09 Atomoxetin;Dalarnas län;Kvinnor;0­19;135;4,30;20,69;31419
2023;N06BA09 Atomoxetin;Dalarnas län;Båda könen;0­19;350;5,44;29,90;64352
2023;N06BA09 Atomoxetin;Gävleborgs län;Män;0­19;131;4,03;28,02;32479
2023;N06BA09 Atomoxetin;Gävleborgs län;Kvinnor;0­19;90;2,92;18,63;30805
2023;N06BA09 Atomoxetin;Gävleborgs län;Båda könen;0­19;221;3,49;23,45;63284
2023;N06BA09 Atomoxetin;Västernorrlands län;Män;0­19;131;4,75;28,00;27569
2023;N06BA09 Atomoxetin;Västernorrlands län;Kvinnor;0­19;50;1,92;9,55;26079
2023;N06BA09 Atomoxetin;Västernorrlands län;Båda könen;0­19;181;3,37;19,03;53648
2023;N06BA09 Atomoxetin;Jämtlands län;Män;0­19;85;5,55;30,96;15311
2023;N06BA09 Atomoxetin;Jämtlands län;Kvinnor;0­19;59;4,11;25,24;14345
2023;N06BA09 Atomoxetin;Jämtlands län;Båda könen;0­19;144;4,86;28,19;29656
2023;N06BA09 Atomoxetin;Västerbottens län;Män;0­19;222;7,04;44,59;31512
2023;N06BA09 Atomoxetin;Västerbottens län;Kvinnor;0­19;129;4,37;25,66;29540
2023;N06BA09 Atomoxetin;Västerbottens län;Båda könen;0­19;351;5,75;35,43;61052
2023;N06BA09 Atomoxetin;Norrbottens län;Män;0­19;173;6,54;43,44;26472
2023;N06BA09 Atomoxetin;Norrbottens län;Kvinnor;0­19;98;3,95;19,34;24813
2023;N06BA09 Atomoxetin;Norrbottens län;Båda könen;0­19;271;5,28;31,78;51285
2023;N06BA12 Lisdexamfetamin;Riket;Män;0­19;20361;16,27;81,78;1251545
2023;N06BA12 Lisdexamfetamin;Riket;Kvinnor;0­19;15100;12,79;62,30;1180395
2023;N06BA12 Lisdexamfetamin;Riket;Båda könen;0­19;35461;14,58;72,32;2431940
2023;N06BA12 Lisdexamfetamin;Stockholms län;Män;0­19;5305;17,85;84,04;297151
2023;N06BA12 Lisdexamfetamin;Stockholms län;Kvinnor;0­19;4297;15,31;70,51;280746
2023;N06BA12 Lisdexamfetamin;Stockholms län;Båda könen;0­19;9602;16,62;77,47;577897
2023;N06BA12 Lisdexamfetamin;Uppsala län;Män;0­19;857;17,99;81,11;47625
2023;N06BA12 Lisdexamfetamin;Uppsala län;Kvinnor;0­19;622;13,73;55,19;45301
2023;N06BA12 Lisdexamfetamin;Uppsala län;Båda könen;0­19;1479;15,92;68,47;92926
2023;N06BA12 Lisdexamfetamin;Södermanlands län;Män;0­19;692;18,51;83,84;37379
2023;N06BA12 Lisdexamfetamin;Södermanlands län;Kvinnor;0­19;533;15,25;65,95;34952
2023;N06BA12 Lisdexamfetamin;Södermanlands län;Båda könen;0­19;1225;16,94;75,20;72331
2023;N06BA12 Lisdexamfetamin;Östergötlands län;Män;0­19;744;13,35;72,15;55747
2023;N06BA12 Lisdexamfetamin;Östergötlands län;Kvinnor;0­19;460;8,77;42,86;52451
2023;N06BA12 Lisdexamfetamin;Östergötlands län;Båda könen;0­19;1204;11,13;57,95;108198
2023;N06BA12 Lisdexamfetamin;Jönköpings län;Män;0­19;634;13,87;73,09;45695
2023;N06BA12 Lisdexamfetamin;Jönköpings län;Kvinnor;0­19;412;9,54;47,83;43175
2023;N06BA12 Lisdexamfetamin;Jönköpings län;Båda könen;0­19;1046;11,77;60,82;88870
2023;N06BA12 Lisdexamfetamin;Kronobergs län;Män;0­19;314;12,47;67,06;25173
2023;N06BA12 Lisdexamfetamin;Kronobergs län;Kvinnor;0­19;224;9,44;51,10;23720
2023;N06BA12 Lisdexamfetamin;Kronobergs län;Båda könen;0­19;538;11,00;59,31;48893
2023;N06BA12 Lisdexamfetamin;Kalmar län;Män;0­19;434;15,61;82,96;27795
2023;N06BA12 Lisdexamfetamin;Kalmar län;Kvinnor;0­19;277;10,52;53,00;26321
2023;N06BA12 Lisdexamfetamin;Kalmar län;Båda könen;0­19;711;13,14;68,39;54116
2023;N06BA12 Lisdexamfetamin;Gotlands län;Män;0­19;117;18,18;71,17;6435
2023;N06BA12 Lisdexamfetamin;Gotlands län;Kvinnor;0­19;99;16,29;72,22;6079
2023;N06BA12 Lisdexamfetamin;Gotlands län;Båda könen;0­19;216;17,26;71,68;12514
2023;N06BA12 Lisdexamfetamin;Blekinge län;Män;0­19;470;25,77;123,27;18236
2023;N06BA12 Lisdexamfetamin;Blekinge län;Kvinnor;0­19;340;19,93;95,33;17056
